id,path,name,created_by,date_created,description
1021230,Lists/Opened 20 May-Jul,Opened 20 May-Jul,"Cann, D",2021-10-27,Search result by Allison - never given - address on file
1021196,Lists/Phxdonornoemail,Phxdonornoemail,"Cann, D",2021-10-27,Phoenix donors with no email maling 9-2019
1021439,Lists/Pima Co PC 20171001,Pima Co PC 20171001,"Cann, D",2021-10-27,
1021233,Lists/Pima County Dist 1,Pima County Dist 1,"Cann, D",2021-10-27,
1021446,Lists/PP donor in NGP,PP donor in NGP,"Cann, D",2021-10-27,
1021447,Lists/PP donors new folks,PP donors new folks,"Cann, D",2021-10-27,
1021307,Lists/RCDonor,RCDonor,"Cann, D",2021-10-27,Carmona donor
1021384,Lists/Retellini outliers,Retellini outliers,"Cann, D",2021-10-27,"Rotellini donors outside Phoenix, Tucson, Sedona"
1021344,Lists/RGdonor,RGdonor,"Cann, D",2021-10-27,Glassman donor
1021381,Lists/Rotellini,Rotellini,"Cann, D",2021-10-27,Rotellini code to be added for her donors to batch add giving history code
1021238,Lists/Run for Something,Run for Something,"Cann, D",2021-10-27,List from Run for Something 5-13-2021
1021197,Lists/Saguaro Import 2,Saguaro Import 2,"Cann, D",2021-10-27,
1021194,Lists/Saguaroupload1,Saguaroupload1,"Cann, D",2021-10-27,"2,414 1st, last names, zips, emails"
1021248,Lists/Sedona Target,Sedona Target,"Cann, D",2021-10-27,Donna Michaels and other candidates donor code made 7-28-21
1021240,Lists/Sent to Hobbs,Sent to Hobbs,"Cann, D",2021-10-27,44329
1021414,Lists/Sent2MandateMedia,Sent2MandateMedia,"Cann, D",2021-10-27,contact's email address sent to Mandate Media on 7-7-16
1021255,Lists/Sent2Mayes,Sent2Mayes,"Cann, D",2021-10-27,
1021239,Lists/Sent2Run4Somenthing,Sent2Run4Somenthing,"Cann, D",2021-10-27,Our list sent to Run for Something
1021232,Lists/SM20target,SM20target,"Cann, D",2021-10-27,2020 summer match targets from Pam
1021245,Lists/Summer 2021,Summer 2021,"Cann, D",2021-10-27,
1021259,M Wachter target,M Wachter target,"Cann, D",2021-10-27,
1021283,Media,Media,"Cann, D",2021-10-27,Media/Press
1021441,Media NEW 11-3-17,Media NEW 11-3-17,"Cann, D",2021-10-27,
1021385,NGP Data Services,NGP Data Services,"Cann, D",2021-10-27,NGP Data Services
1021386,NGP Data Services/NCOA Update,NCOA Update,"Cann, D",2021-10-27,NCOA Update
1021387,NGP Data Services/NCOA Update/NCOA_2015-10-26,NCOA_2015-10-26,"Cann, D",2021-10-27,NCOA_2015-10-26
1021309,NGP Data Services/NCOA Update/NCOAUp2,NCOAUp2,"Cann, D",2021-10-27,NCOA updated from mail house 7-17-13
1021286,NGP Data Services/NCOAUpdate,NCOAUpdate,"Cann, D",2021-10-27,NGP Data Services - NCOA Updated Address
1021317,NGP Data Services/NGPBadAddr,NGPBadAddr,"Cann, D",2021-10-27,NGP Data Services - Address Failed Validation
1021335,NGP Data Services/NGPClPhone,NGPClPhone,"Cann, D",2021-10-27,NGP PHONE APPEND - Cellphone Added
1021306,NGP Data Services/NGPDDCmbnd,NGPDDCmbnd,"Cann, D",2021-10-27,NGP DeDupe - COMBINED IN BATCH
1021334,NGP Data Services/NGPHmPhone,NGPHmPhone,"Cann, D",2021-10-27,NGP PHONE APPEND - Homephone Added
1021268,NGP Data Services/NGPHoushld,NGPHoushld,"Cann, D",2021-10-27,NGP Data Services - Batch Household Creation
1021236,NGP Data Services/NGP-PrimarytoGeneral,NGP-PrimarytoGeneral,"Cann, D",2021-10-27,please changed contributions from 8-5-2020 to 9/30/2020 to General period
1021265,NGP Data Services/YahooUnsub,YahooUnsub,"Cann, D",2021-10-27,NGP - Yahoo Unsubscribe
1021407,NGP Delete,NGP Delete,"Cann, D",2021-10-27,NGP Batch delete
1021328,NGPBATCH,NGPBATCH,"Cann, D",2021-10-27,NGP Batch
1039286,Nicky Indicavitch target,Nicky Indicavitch target,"Quinn, L",2023-10-23,
1041650,NOTinVAN,NOTinVAN,"Burkhart, E",2024-06-19,Couldn't find record in VAN
1021396,OLD Codes,OLD Codes,"Cann, D",2021-10-27,
1021433,OLD Codes/17Flagattendcontr,17Flagattendcontr,"Cann, D",2021-10-27,
1021401,OLD Codes/2011,2011,"Cann, D",2021-10-27,
1021300,OLD Codes/2011/ADP201106,ADP201106,"Cann, D",2021-10-27,Email addresses from ADP uploaded 6-20-11
1021397,OLD Codes/2012,2012,"Cann, D",2021-10-27,
1021302,OLD Codes/2012/2012PimaPC,2012PimaPC,"Cann, D",2021-10-27,Pima County 2012 PC List
1021323,OLD Codes/2012/250 under 2012,250 under 2012,"Cann, D",2021-10-27,donor list under $250 not giving since 2012
1021338,OLD Codes/2012/5in2012,5in2012,"Cann, D",2021-10-27,$5 donors in 2012 cycle
1021339,OLD Codes/2012/5n2012NEW,5n2012NEW,"Cann, D",2021-10-27,$5 donors in 2012 NEW records in database
1021280,OLD Codes/2012/Angie2012,Angie2012,"Cann, D",2021-10-27,2012 calling list $250+
1021310,OLD Codes/2012/Paid,Paid,"Cann, D",2021-10-27,2012 Paid Canvasser
1021398,OLD Codes/2013,2013,"Cann, D",2021-10-27,
1021266,OLD Codes/2013/13MaricoPC,13MaricoPC,"Cann, D",2021-10-27,2013 - 2014 Maricopa PCs
1021273,OLD Codes/2013/13PetBart,13PetBart,"Cann, D",2021-10-27,2013 Brenda Barton Petition
1021313,OLD Codes/2013/13PetGun,13PetGun,"Cann, D",2021-10-27,06-13 Gun Petition
1021325,OLD Codes/2013/13PetiKirk,13PetiKirk,"Cann, D",2021-10-27,10-13 Kirkpatrick thank health care petition
1021267,OLD Codes/2013/13PetMilt,13PetMilt,"Cann, D",2021-10-27,2013 Military Sexual Assault Petition
1021318,OLD Codes/2013/13PetMove,13PetMove,"Cann, D",2021-10-27,13 Petition Barton Duplicate Move On membs
1021333,OLD Codes/2013/PC 9-30-13,PC 9-30-13,"Cann, D",2021-10-27,PC list 9-30-13
1021297,OLD Codes/2013/PhxAtt1314,PhxAtt1314,"Cann, D",2021-10-27,Folks who attended Phoenix Annual event in either 2013 or 2014
1021399,OLD Codes/2014,2014,"Cann, D",2021-10-27,
1021277,OLD Codes/2014/14Edwards,14Edwards,"Cann, D",2021-10-27,2014 Donna Edwards event in Phx
1021315,OLD Codes/2014/14Movie,14Movie,"Cann, D",2021-10-27,14Movie
1021336,OLD Codes/2014/14PetSteel,14PetSteel,"Cann, D",2021-10-27,Petition for Victoria Steele???
1021294,OLD Codes/2014/2014DMHoli,2014DMHoli,"Cann, D",2021-10-27,2014 Direct Mail Holiday Newsletter
1021321,OLD Codes/2014/EListAnnK,EListAnnK,"Cann, D",2021-10-27,Ann Kirkpatrick-EMILY's List
1021326,OLD Codes/2014/Sedona,Sedona,"Cann, D",2021-10-27,Sedona attendees upload from 5-7-14 event
1021400,OLD Codes/2015,2015,"Cann, D",2021-10-27,
1021289,OLD Codes/2015/15PetEdcut,15PetEdcut,"Cann, D",2021-10-27,Education Cuts Petetion May 2015
1021383,OLD Codes/2015/15PetK-12,15PetK-12,"Cann, D",2021-10-27,2015 K - 12 Petition signer
1021382,OLD Codes/2015/15PetPP,15PetPP,"Cann, D",2021-10-27,2015 Planned Parenthood Petition signer
1021379,OLD Codes/2015/2015 Match,2015 Match,"Cann, D",2021-10-27,Individuals contributing during 2015 match period
1021388,OLD Codes/2015/2015HolidayNewslette,2015HolidayNewslette,"Cann, D",2021-10-27,
1021304,OLD Codes/2015/Angie250,Angie250,"Cann, D",2021-10-27,$250 donors for Angie List letter
1021376,OLD Codes/2015/AugAngie,AugAngie,"Cann, D",2021-10-27,Angie calls for Aug 11
1021378,OLD Codes/2015/AugInternCalls,AugInternCalls,"Cann, D",2021-10-27,"List to spllit between interns, Milynn, & Quiana for follow up match calls"
1021377,OLD Codes/2015/AugLaura,AugLaura,"Cann, D",2021-10-27,Aug 11 call list Laura
1021330,OLD Codes/2015/DuVal2emai,DuVal2emai,"Cann, D",2021-10-27,2nd DuVal upload
1021276,OLD Codes/2015/DuValemail,DuValemail,"Cann, D",2021-10-27,DuVal emails
1021340,OLD Codes/2015/DuValNEWAL,DuValNEWAL,"Cann, D",2021-10-27,All new names and emails from DuVal
1021332,OLD Codes/2015/DuValProb2,DuValProb2,"Cann, D",2021-10-27,DuVal probably new emails 2nd batch
1021331,OLD Codes/2015/DuValProbN,DuValProbN,"Cann, D",2021-10-27,DuVal emails probalby new records
1021288,OLD Codes/2015/Milynn,Milynn,"Cann, D",2021-10-27,Milynn calling list
1021293,OLD Codes/2015/Parya,Parya,"Cann, D",2021-10-27,Parya calling list
1021282,OLD Codes/2015/Raquel,Raquel,"Cann, D",2021-10-27,Raquel calling list
1021177,OLD Codes/2018,2018,"Cann, D",2021-10-27,
1021176,OLD Codes/2018/18JulAugRenewal,18JulAugRenewal,"Cann, D",2021-10-27,
1021452,OLD Codes/2018/18PACsummerstaff,18PACsummerstaff,"Cann, D",2021-10-27,
1021432,OLD Codes/DEVIN - Call,DEVIN - Call,"Cann, D",2021-10-27,records with returned mail - new address entered from VAN
1021342,OLD Codes/HonoraryBo,HonoraryBo,"Cann, D",2021-10-27,Honorary Board
1021292,OLD Codes/Lead,Lead,"Cann, D",2021-10-27,Lead
1021410,OLD Codes/Lead/LD 7,LD 7,"Cann, D",2021-10-27,possible LD 7 donors
1021402,OLD Codes/MISC,MISC,"Cann, D",2021-10-27,
1021298,OLD Codes/MISC/Becskehazy,Becskehazy,"Cann, D",2021-10-27,Becskehazy HP zipcode from CM
1021329,OLD Codes/MISC/C M Emails,C M Emails,"Cann, D",2021-10-27,Email addresses from Campaign Monitor
1021343,OLD Codes/MISC/CherylCage,CherylCage,"Cann, D",2021-10-27,Cheryl Cage tab from Campaign Monitor emails list
1021312,OLD Codes/MISC/Corp,Corp,"Cann, D",2021-10-27,Corporate Sponsors
1021314,OLD Codes/MISC/FilingPeti,FilingPeti,"Cann, D",2021-10-27,Signers of Email Petition re. Filing 2012
1021290,OLD Codes/MISC/MemberCM,MemberCM,"Cann, D",2021-10-27,Members tab from Campaign Monitor Emails list
1021284,OLD Codes/MISC/NO Share,NO Share,"Cann, D",2021-10-27,"Do not share name, contact info per request"
1021319,OLD Codes/MISC/NonMembrCM,NonMembrCM,"Cann, D",2021-10-27,Non-Members from the Campiagn Monitor emails list
1021262,OLD Codes/MISC/PhxNonMemb,PhxNonMemb,"Cann, D",2021-10-27,Phoenix NON Members from Campaign Monitor Email List
1021299,OLD Codes/MISC/TucNonMbrs,TucNonMbrs,"Cann, D",2021-10-27,Tucson Non Members from Campaign Monitor Email List
1021337,OLD Codes/MISC/TYMerkExcl,TYMerkExcl,"Cann, D",2021-10-27,TYMerkExcl (orphan code re-entered - not sure what it was)
1021316,OLD Codes/MISC/VIPCM,VIPCM,"Cann, D",2021-10-27,VIP tab on Campaing Monitor Email List
1021429,OLD Codes/YumaKitchenCabinet,YumaKitchenCabinet,"Cann, D",2021-10-27,Devin advisors in Yuma
1021324,Online,Online,"Cann, D",2021-10-27,Online contributions from web page
1045508,Organization,Organization,"Quinn, L",2025-08-22,
1045509,Organization/Angel Charity 2025,Angel Charity 2025,"Quinn, L",2025-08-22,Donor to Angel Charity in 2025
1045541,Organization/Civic Spark Organization,Civic Spark Organization,"Quinn, L",2025-08-27,2025 list
1021191,Pam Target,Pam Target,"Cann, D",2021-10-27,
1021185,PamTraisterSponsor,PamTraisterSponsor,"Cann, D",2021-10-27,
1041295,Pat Target,Pat Target,"Burkhart, E",2024-05-17,
1021257,Pat Wiedhopf target,Pat Wiedhopf target,"Cann, D",2021-10-27,Pat W board drive target
1021187,PotentialBMcall,PotentialBMcall,"Cann, D",2021-10-27,Prospective contacts to be called by a Board member
1021320,Recurring,Recurring,"Cann, D",2021-10-27,Recurring contributions from Pledge
1021172,Research,Research,"Cann, D",2021-10-27,codes for intern research
1021173,Research/HDNeedsResearch,HDNeedsResearch,"Cann, D",2021-10-27,high dollar needs research
1021174,Research/HDNotforCT,HDNotforCT,"Cann, D",2021-10-27,high dollar research not for call time - whatever that means
1021175,Research/HDResearchComplete,HDResearchComplete,"Cann, D",2021-10-27,high dollor research complete
1021211,Research/LDneedesresearch,LDneedesresearch,"Cann, D",2021-10-27,low dollar donor needs research
1021212,Research/LDnotforcalltime,LDnotforcalltime,"Cann, D",2021-10-27,low dollar donor not for call time but researched???
1021210,Research/LDresearchcomplete,LDresearchcomplete,"Cann, D",2021-10-27,low dollar donor research complete
1021192,Saguaroemails,Saguaroemails,"Cann, D",2021-10-27,
1021227,SEND MOLLY LOG EMAIL,SEND MOLLY LOG EMAIL,"Cann, D",2021-10-27,
1038380,Store,Store,"Quinn, L",2023-06-12,
1038381,Store/GreenWave,GreenWave,"Quinn, L",2023-06-12,received a Green bandana
1043891,Tabling Sign Up,Tabling Sign Up,"Burkhart, E",2025-03-11,"Signed up at tabling, rally, march, etc."
1021287,Tribe,Tribe,"Cann, D",2021-10-27,Arizona Tribe Contact
1021341,Unsubscrib,Unsubscrib,"Cann, D",2021-10-27,Unsubscribes from CM emails
1021409,Unsubscribed Mandate,Unsubscribed Mandate,"Cann, D",2021-10-27,Unsubscribed list from Mandate Media 8-9-16
1042810,VANbiguous,VANbiguous,"Burkhart, E",2024-09-24,Multiple VAN entries with matching name; not enough information to determine
1021274,VIP,VIP,"Cann, D",2021-10-27,VIP
1039273,Virginia Yrun Target,Virginia Yrun Target,"Quinn, L",2023-10-20,
1021272,Volunteer,Volunteer,"Cann, D",2021-10-27,Volunteer: Regular
1021226,Volunteer/2020Volunteer,2020Volunteer,"Cann, D",2021-10-27,
1039948,Volunteer/AAA Initiative,AAA Initiative,"Burkhart, E",2024-01-10,Volunteers for AAA Initiative 2024
1039967,Volunteer/AAA Initiative/AAA Active,AAA Active,"Burkhart, E",2024-01-12,Active Petition gatherer 2024
1039968,Volunteer/AAA Initiative/AAA Notary,AAA Notary,"Burkhart, E",2024-01-12,Notary AAA 2024
1021422,Volunteer/EventSupport,EventSupport,"Cann, D",2021-10-27,
1021345,Volunteer/GenVol,GenVol,"Cann, D",2021-10-27,General Volunteer
1021347,Volunteer/HouseParty,HouseParty,"Cann, D",2021-10-27,Host a house party
1021350,Volunteer/Mailings,Mailings,"Cann, D",2021-10-27,Help with mailings
1041829,Volunteer/New Volunteer,New Volunteer,"Burkhart, E",2024-07-02,Temporary for new volunteers
1021348,Volunteer/Phonebank,Phonebank,"Cann, D",2021-10-27,Make phone calls
1021346,Volunteer/VolCandate,VolCandate,"Cann, D",2021-10-27,Volunteer to help candidates
1021423,Volunteer/VolCoordinator,VolCoordinator,"Cann, D",2021-10-27,
1021426,Volunteer/VolFundraising,VolFundraising,"Cann, D",2021-10-27,
1021425,Volunteer/VolOfficeAsst,VolOfficeAsst,"Cann, D",2021-10-27,
1021424,Volunteer/VolResearch,VolResearch,"Cann, D",2021-10-27,
1021349,Volunteer/Walk,Walk,"Cann, D",2021-10-27,Walk door to door
1021427,Volunteer/Web work,Web work,"Cann, D",2021-10-27,
1021295,WmnVoteStf,WmnVoteStf,"Cann, D",2021-10-27,Women Vote Workers
1028934,WmnVoteStf/SignatureStaff2022,SignatureStaff2022,"Quinn, L",2022-03-28,
1021380,WomenVoteLetterPam,WomenVoteLetterPam,"Cann, D",2021-10-27,Pam sent letter for Women Vote Project 8-15-15
1021444,YD,YD,"Cann, D",2021-10-27,
